Question Number,Question _Text,Options_1,Options_2,Options_3,Options_4,Options_5
101,A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?,120 metres,180 metres,150 metres,324 metres,
2,An accurate clock shows 8 o'clock in the morning. Through how may degrees will the hour hand rotate when the clock shows 2 o'clock in the afternoon?,144°,150°,168°,180°,
3,What is the average of first five multiples of 12?,36,38,40,42,
4,What is the difference in the place value of 5 in the numeral 754853?,49500,49950,45000,49940,
5,A running man crosses a bridge of length 500 meters in 4 minutes. At what speed he is running?,8.5 km/s,7.5 km/s,9.5 km/s,6.5 km/s,
6,What is the compound interest on Rs. 2500 for 2 years at rate of interest 4% per annum?,Rs. 180,Rs. 204,Rs. 210,Rs. 220,
7,Sohan started a business with a capital of Rs. 80000. After 6 months Mohan joined as a partner by investing Rs. 65000. After one year they earned total profit Rs. 20000. What is share of Sohan in the profit?,Rs. 5222.2,Rs. 6222.2,Rs. 5777.7,Rs. 6777.7,
8,A mother is twice as old as her son. If 20 years ago, the age of the mother was 10 times the age of the son, what is the present age of the mother?,38 years,40 years,43 years,45 years,
9,If January 1, 1996, was Monday, what day of the week was January 1, 1997?,Thursday,Wednesday,Friday,Sunday,
10,The speed of a boat in still water is 5km/hr. If the speed of the boat against the stream is 3 km/hr, what is the speed of the stream?,1.5 km/hr,2 km/hr,2.5 km/hr,1 km/hr,
11,How many times the hands of a clock coincide in a day?,24,22,23,21,
12,40 % of 280 =?,112,116,115,120,
13,A pipe can fill a tank in 6 hours and another pipe can empty the tank in 12 hours. If both the pipes are opened at the same time,the tank can be filled in,10 hours,12 hours,14 hours,16 hours,
14,A shopkeeper sold an article for Rs. 2500. If the cost price of the article is 2000, find the profit percent.,23%,25%,27%,29%,
15,If Suresh borrows Rs. 36000 from Mahesh at rate of interest 6% S.I, at the end of four years how much interest Suresh has to pay along with principal amount?,Rs. 12560,Rs. 12960,Rs. 13500,Rs. 14500,
16,A train moving at speed of 80 km/hr crosses a pole in 7 seconds. Find the length of the train.,150 m,165 m,175 m,170 m,
17,What is the HCF of 1095 and 1168?,37,43,73,83,
18,What is the area of a triangle with base 5 meters and height 10 meters?,20 square meters,35 square meters,25 square meters,40 square meters,
19,A: B: C is in the ratio of 3: 2: 5. How much money will C get out of Rs 1260?,252,125,503,630,
20,In a kilometer race, A beats B by 40 meters or by 5 seconds. What is the time taken by A over the course?,1 minute 57 seconds.,1.5 minutes.,None of these.,2 minutes.,
21,What is the probability of getting an even number when a dice is rolled?,1 5,1 2,1 3,1 4,
22,Find the missing term of the given expression:18.834 + 818.34 -? = 618.43,217.644,217.744,217.844,218.744,
23,What is the market price of a 9% share when a person gets 180 by investing Rs. 4000?,150,200,250,300,
24,The true discount on a bill of Rs. 2700 is Rs. 200. What is the banker's discount?,Rs. 210,Rs. 212,Rs. 216,Rs. 218,
25,If 30% of a certain number is 12.6, what is the number?,42,24,23,32,
26,Complete the series 2, 5, 9, 19, 37.......,74,75,76,77,
27,"In what ways the letters of the word ""RUMOUR"" can be arranged?",180,150,200,230,
28,Find the odd man out. 1,3,9,12,19,29,1,3,9,12,
29,Today it is Thursday.After 132 days,it will be,Monday,Sunday,Wednesday,Thursday,
30,Two pipes A and B can separately fill a tank in 2 minutes and 15 minutes respectively. Both the pipes are opened together but 4 minutes after the start the pipe A is turned off. How much time will it take to fill the tank?,9 min,10 min,11 min,12 min,
